id , name, adusers, ddownloads, lastupdated, minv, maxv, isMailExt, #Auth, Authors, A1Id,  A2Id,  A3Id, cTB52, cTB60, cTB68b, cTB68,homepage_url,support_url
43,PasteIP,0,35,2007-03-05,0.7,3.0,0,1,miken32,43,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/pasteip/,None
46,QuickNote,502,1066,2016-04-27,3.1,49.0,0,3,AuthorsEnc,54957,6,132,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/quicknote/,{u'en-US': u'http://quicknote.mozdev.org/'; u'pl': u'http://quicknote.mozdev.org/'}
63,InspectorWidget,40,39,2015-05-23,1.0,38.0,0,1,Sailfish,47,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/inspectorwidget/,{u'en-US': u'http://forum.projectit.com/'}
70,Contacts Sidebar,2056,77,2007-09-16,1.5,3.0,0,1,Jeroen Peters,52,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/contacts-sidebar/,None
71,Enigmail,116053,6498,2019-08-18,68.0,68.0,1,1,Patrick Brunschwig,53,,,2016-11-05,2018-03-25,2099-01-01,2019-07-11,https://addons.thunderbird.net/en-US/thunderbird/addon/enigmail/,{u'en-US': u'http://www.enigmail.net/support/'}
81,Launchy,70,81,2010-01-30,0.3,20.0,0,1,gemal,59,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/launchy/,None
106,Buttons!,5,25,2007-04-11,2.0,3.1,0,1,chuonthis,67,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/buttons/,None
110,Easy Get Mail Button,0,29,2007-03-05,0.5,1.0,0,1,Mark Chandler,68,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/easy-get-mail-button/,None
132,Open Long Url,0,27,2007-03-05,0.9,3.0,0,1,Jeremy Gillick,77,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/open-long-url/,None
133,Forumzilla,0,27,2007-07-23,0.6,2.0,0,1,Myk Melez,429,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/forumzilla/,None
134,Copy Plain Text,12,49,2007-03-05,0.5,3.0,0,1,Jeremy Gillick,77,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/copy-plain-text/,None
139,Image Zoom,1301,297,2013-05-27,17.0,18.0,0,1,Jason Adams,84,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/image-zoom/,{u'en-US': u'https://github.com/jasadams/imagezoom'}
145,Moji,10,28,2011-09-01,1.5,48.0,0,2,Erwan Loisant; Gerald Vogt,88,514,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/moji/,{u'en-US': u'http://groups.google.com/group/moji'}
149,Delete Junk Context Menu,4,1,2007-04-11,0.5,3.1,0,1,chuonthis,67,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/delete-junk-context-menu/,None
151,Show SMTP Username,0,28,2007-03-05,0.5,1.0,0,1,chuonthis,67,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/show-smtp-username/,None
152,addressContext,13,39,2007-04-27,0.5,2.0,0,1,Mike Krieger,93,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/addresscontext/,None
170,Quote Colors,1730,178,2009-11-17,2.0,3.1,0,1,Malte Ruecker,102,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/quote-colors/,None
183,StockTicker,0,27,2007-03-05,0.9,3.0,0,1,Jeremy Gillick,77,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/stockticker/,None
210,View Headers Toggle Button,3,24,2007-04-25,2.0,2.0,0,1,Josh Lukens,135,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/view-headers-toggle-button/,None
214,DirSwitcher,0,29,2007-03-05,0.6,0.7,0,1,Ayman Hourieh,139,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/dirswitcher/,None
216,JavaScript Debugger,11700,513,2012-03-23,3.0,16.0,0,3,James Ross; Robert Ginda; Gijs Kruitbosch,20,23,9275,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/javascript-debugger/,{u'en-US': u'http://www.hacksrus.com/~ginda/venkman/faq/venkman-faq.html'}
220,FlashGot Mass Downloader,1961,5714,2016-12-01,14.0,52.0,0,1,Giorgio Maone,143,,,2016-03-16,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/flashgot/,{u'en-US': u'https://flashgot.net/forum'}
231,ConQuery,0,59,2007-03-05,1.5,1.5,0,1,Vasa Maximov,260,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/conquery/,None
246,Foobar Controls,0,22,2011-01-09,2.0,17.0,0,1,Ben Basson,152,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/foobar-controls/,{u'en-US': u'http://www.basson.at/firefox-addons/foobarcontrols'}
258,Folderpane Tools,1805,72,2011-07-29,1.0,23.0,0,2,chuonthis; Philip Chee,67,408,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/folderpane-tools/,None
302,Dict,25,23,2016-02-18,16.0,38.0,0,1,David Costanzo,179,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/dict/,{u'en-US': u'http://sourceforge.net/p/dictextension/tickets/'}
