ID	Name
2313	Lightning
324492	ImportExportTools
4631	Provider for Google Calendar
15102	Manually sort folders
711780	LookOut (fix version)
71	Enigmail
640	Quicktext
8451	gContactSync
13564	CompactHeader
4654	Remove Duplicate Messages (Alternate)
195275	Send Later
611	Signature Switch
47144	Mail Merge
634298	CardBook
550	Mail Redirect
881	Display Quota
2533	Addressbooks Synchronizer
330424	PrintingTools
5582	Confirm-Address
4394	Stationery
277002	ThunderPEC
773590	TbSync
54035	Thunderbird Conversations
386321	Lightning Calendar Tabs
3254	QuickFolders (Tabbed Folders)
986288	MinimizeToTray Reanimated
64758	XNote++
962584	Theme Font & Size Changer (fixed)
487108	Flex Confirm Mail
2281	Check and Send
986386	Open Google Calendar
158397	Auto Resize Image
91129	LightningButton
9808	StartupMaster
1191	ReminderFox
4970	Tag Toolbar
324497	SmartTemplate4
14385	Account Colors
2610	Mailbox Alert
14384	Calendar Tweaks
372870	quickFilters
986338	Provider for Exchange ActiveSync
708783	Emoji
306600	Contact Tabs
217293	Signal Spam
876088	Theme Font & Size Changer for ThunderBird
222207	Highlighter
986258	Provider for CalDAV & CardDAV
5337	ThunderBirthDay
1279	Xpunge
10052	FiltaQuilla
1556	Allow HTML Temp
363065	Copy Folder
438634	DKIM Verifier
5602	Blinking Alert
800008	AddressBook in Tab
986477	Colored Folders
2548	Sieve
330066	EditEmailSubject (Edit email Subject)
1339	Expression Search / GMailUI
438960	Hide Local Folders
902	Get/Send Button
90003	LocalFolders
478179	Awesome Auto Archive
331319	Folder Pane View Switcher
986686	ImportExportTools NG
2377	Toolbar Buttons
335326	Show All Body Parts
901	ConfigDate
699831	Send Later Button
56935	Identity Chooser
477467	AutoarchiveReloaded
333220	ProfileSwitcher
2487	Nostalgy
470213	P7MON
11005	Shrunked Image Resizer
550640	Nextcloud for Filelink
327777	Auto Compress File
602486	Dorando keyconfig
356507	Header Tools Lite
702920	ThunderHTMLedit
318146	Add Signature
745143	CustomizeMyBird
59195	G-Hub Lite
605874	ReplyWithHeader
116388	Automatic Dictionary
658700	Lightning Colors Reminder
508352	Menu Wizard
543462	Emoji Menu
941901	Duplicate Contacts Manager
472193	CategoryManager
12018	Quick Folder Move
809689	Grammalecte [fr] (for Thunderbird)
6533	ThreadVis
781706	Keep in Taskbar
